Evaluating test set: 
Instance 0 Actual: 3.56984, Predicted: 3.57797
Instance 1 Actual: 4.66457, Predicted: 4.10866
Instance 2 Actual: 4.59734, Predicted: 3.96605
Instance 3 Actual: 4.85072, Predicted: 4.78773
Instance 4 Actual: 3.65820, Predicted: 3.59697
Instance 5 Actual: 3.64246, Predicted: 3.66939
Instance 6 Actual: 3.67852, Predicted: 3.75998
Instance 7 Actual: 3.47276, Predicted: 3.53073
Instance 8 Actual: 4.53392, Predicted: 4.20377
Instance 9 Actual: 3.72444, Predicted: 3.46435
Instance 10 Actual: 3.74507, Predicted: 3.53881
Instance 11 Actual: 3.64404, Predicted: 3.58956
Instance 12 Actual: 3.72346, Predicted: 3.97925
Instance 13 Actual: 3.56773, Predicted: 3.84687
Instance 14 Actual: 3.78032, Predicted: 4.04460
Instance 15 Actual: 4.69576, Predicted: 4.27586
Instance 16 Actual: 3.95999, Predicted: 3.95996
Instance 17 Actual: 3.27277, Predicted: 3.69971
Instance 18 Actual: 3.61511, Predicted: 3.73358
Instance 19 Actual: 3.70586, Predicted: 3.88620
Instance 20 Actual: 3.60938, Predicted: 3.78499
Instance 21 Actual: 3.51481, Predicted: 3.75951
Instance 22 Actual: 2.37658, Predicted: 3.38456
Instance 23 Actual: 3.52608, Predicted: 3.54555
Instance 24 Actual: 3.80618, Predicted: 3.60539
Instance 25 Actual: 3.83734, Predicted: 4.00245
Instance 26 Actual: 2.59218, Predicted: 3.62501
Instance 27 Actual: 4.03519, Predicted: 3.99857
Instance 28 Actual: 3.71029, Predicted: 3.64108
Instance 29 Actual: 3.57657, Predicted: 3.61552
Instance 30 Actual: 3.46731, Predicted: 4.10057
Instance 31 Actual: 3.61215, Predicted: 3.62765
Instance 32 Actual: 2.65514, Predicted: 3.57123
Instance 33 Actual: 4.05767, Predicted: 3.88532
Instance 34 Actual: 3.75618, Predicted: 3.55871
Instance 35 Actual: 3.85685, Predicted: 3.59007
Instance 36 Actual: 3.98245, Predicted: 3.35176
Instance 37 Actual: 5.08971, Predicted: 4.22146
Instance 38 Actual: 3.75815, Predicted: 3.92995
Instance 39 Actual: 3.69002, Predicted: 3.84150
Instance 40 Actual: 3.61469, Predicted: 3.61086
Instance 41 Actual: 3.26600, Predicted: 3.64220
Instance 42 Actual: 4.53757, Predicted: 4.46312
Instance 43 Actual: 3.72738, Predicted: 3.60432
Instance 44 Actual: 3.72526, Predicted: 3.46018
Instance 45 Actual: 3.64464, Predicted: 3.57867
Instance 46 Actual: 4.99483, Predicted: 4.99514
Instance 47 Actual: 3.85854, Predicted: 3.82906
Instance 48 Actual: 4.15594, Predicted: 3.86371
Instance 49 Actual: 4.43226, Predicted: 4.02335
Instance 50 Actual: 4.31235, Predicted: 4.30327
Instance 51 Actual: 3.80726, Predicted: 4.27054
Instance 52 Actual: 3.76238, Predicted: 3.88369
Instance 53 Actual: 3.76923, Predicted: 3.77717
Instance 54 Actual: 3.97900, Predicted: 3.95225
Instance 55 Actual: 3.92942, Predicted: 3.84432
Instance 56 Actual: 3.57933, Predicted: 3.72235
Instance 57 Actual: 4.44914, Predicted: 3.98793
Instance 58 Actual: 3.85902, Predicted: 3.76781
Instance 59 Actual: 3.72346, Predicted: 3.63516
Instance 60 Actual: 4.74445, Predicted: 4.72125
Instance 61 Actual: 3.76938, Predicted: 3.61922
Instance 62 Actual: 4.00173, Predicted: 3.97950
Instance 63 Actual: 5.18621, Predicted: 4.00616
Instance 64 Actual: 5.19923, Predicted: 4.36283
Instance 65 Actual: 3.81184, Predicted: 3.92184
Instance 66 Actual: 3.68485, Predicted: 3.54576
Instance 67 Actual: 4.20085, Predicted: 3.92564
Instance 68 Actual: 4.18435, Predicted: 4.27460
Instance 69 Actual: 3.97900, Predicted: 3.88589
Instance 70 Actual: 3.97109, Predicted: 4.00633
Instance 71 Actual: 3.88829, Predicted: 3.86521
Instance 72 Actual: 3.71933, Predicted: 3.71655
Instance 73 Actual: 3.85321, Predicted: 3.72401
Instance 74 Actual: 4.34100, Predicted: 3.80983
Instance 75 Actual: 3.75997, Predicted: 3.79824
Instance 76 Actual: 4.56923, Predicted: 4.80472
Instance 77 Actual: 4.59770, Predicted: 4.42757
Instance 78 Actual: 3.74320, Predicted: 3.84221
Instance 79 Actual: 3.78219, Predicted: 3.84580
Instance 80 Actual: 4.06009, Predicted: 3.79833
Instance 81 Actual: 3.69355, Predicted: 3.96026
Instance 82 Actual: 4.82467, Predicted: 4.24823
Instance 83 Actual: 3.74241, Predicted: 3.70090
Instance 84 Actual: 3.70243, Predicted: 3.76043
Instance 85 Actual: 3.71332, Predicted: 4.01148
Instance 86 Actual: 3.70191, Predicted: 3.70484
Instance 87 Actual: 3.69090, Predicted: 3.72291
Instance 88 Actual: 3.98677, Predicted: 4.00277
Instance 89 Actual: 3.68124, Predicted: 3.95520
Instance 90 Actual: 3.72263, Predicted: 3.83040
Instance 91 Actual: 3.79127, Predicted: 4.04447
Instance 92 Actual: 4.66200, Predicted: 4.35230
Instance 93 Actual: 3.92490, Predicted: 3.73014
Instance 94 Actual: 3.73239, Predicted: 3.80278
Instance 95 Actual: 3.67062, Predicted: 3.83197
Instance 96 Actual: 3.54158, Predicted: 3.60336
Instance 97 Actual: 3.57726, Predicted: 3.94313
Instance 98 Actual: 3.61868, Predicted: 3.68062
Instance 99 Actual: 3.62201, Predicted: 3.76786
Training set mean squared error: 0.08488
Test set mean squared error: 0.11063
